python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00452 07004327.wav 0:00:05.213741 229926
00453 07021107.wav 0:00:05.224490 230400
00454 07037285.wav 0:00:05.230023 230644
00455 07045183.wav 0:00:05.240000 231084
00456 07045185.wav 0:00:05.240000 231084
00457 07045198.wav 0:00:05.240000 231084
00458 07022308.wav 0:00:05.241973 231171
00459 07037288.wav 0:00:05.244807 231296
00460 07028053.wav 0:00:05.249501 231503
00461 07022485.wav 0:00:05.251746 231602
00462 07042172.wav 0:00:05.253333 231672
00463 07045184.wav 0:00:05.253333 231672
00464 07045186.wav 0:00:05.253333 231672
00465 07037537.wav 0:00:05.253923 231698
00466 07022495.wav 0:00:05.259955 231964
00467 07011036.wav 0:00:05.260000 231966
00468 07014200.wav 0:00:05.260000 231966
00469 07028088.wav 0:00:05.264059 232145
00470 07032233.wav 0:00:05.275193 232636
00471 07004299.wav 0:00:05.277642 232744
00472 07019112.wav 0:00:05.280000 232848
00473 07022207.wav 0:00:05.280000 232848
00474 07045176.wav 0:00:05.280000 232848
00475 07010149.wav 0:00:05.300000 233730
00476 07045187.wav 0:00:05.306667 234024
00477 07045194.wav 0:00:05.306667 234024
00478 07016252.wav 0:00:05.310385 234188
00479 07045172.wav 0:00:05.313333 234318
00480 07018031.wav 0:00:05.313719 234335
00481 07027069.wav 0:00:05.316100 234440
00482 07045195.wav 0:00:05.320000 234612
00483 07043162.wav 0:00:05.326667 234906
00484 07022390.wav 0:00:05.333152 235192
00485 07022489.wav 0:00:05.337483 235383
00486 07037557.wav 0:00:05.340000 235494
00487 07045174.wav 0:00:05.346667 235788
00488 07045175.wav 0:00:05.346667 235788
00489 07022228.wav 0:00:05.360000 236376
00490 07055193.wav 0:00:05.360000 236376
00491 07039218.wav 0:00:05.361429 236439
00492 07045200.wav 0:00:05.373333 236964
00493 07023366.wav 0:00:05.379955 237256
00494 07012006.wav 0:00:05.380000 237258
00495 07014092.wav 0:00:05.400000 238140
